age,tenure_months,monthly_premium,claims_count,claim_amount,support_contacts,satisfaction_score,payment_delay_days,has_dispute,online_engagement,policy_type,region,churn
26,32,83.58,2,382.34,1,5,0,0,3,standard,east,0
63,81,67.62,0,117.25,0,1,1,0,5,family,south,1
56,6,167.34,0,114.18,3,4,1,1,9,standard,west,1
45,44,204.79,2,258.17,4,2,2,0,10,standard,west,0
44,77,103.35,0,52.83,2,5,1,0,6,standard,west,0
67,91,73.79,0,153.61,0,3,2,0,2,premium,north,0
26,26,41.71,2,43.29,1,5,2,0,2,premium,north,0
58,63,111.46,2,48.11,1,5,4,0,5,premium,west,0
32,20,108.93,0,80.67,2,2,0,0,7,family,east,0
26,13,97.2,1,55.02,0,2,2,0,5,premium,south,0
49,35,127.75,1,84.59,1,1,2,0,1,family,south,0
73,85,133.83,0,118.03,2,4,0,1,7,standard,south,0
60,67,131.31,1,46.22,1,1,5,0,3,standard,east,0
62,48,108.94,0,82.26,0,1,1,1,5,standard,south,1
60,29,81.44,1,126.48,1,5,4,0,9,premium,south,0
63,16,143.3,0,63.22,0,4,1,0,8,standard,south,0
49,28,120.44,3,38.54,4,3,1,0,5,standard,south,0
28,17,151.09,0,67.43,2,1,1,1,9,premium,north,0
66,20,147.65,0,95.68,1,5,1,0,2,standard,north,0
45,66,70.24,1,25.27,0,5,0,0,3,premium,east,0
48,15,69.8,1,192.16,0,1,1,0,2,premium,west,0
41,7,93.56,0,99.91,1,4,2,0,9,family,north,0
31,53,83.03,0,67.76,0,2,4,0,9,premium,west,0
71,29,146.43,0,29.86,1,4,2,0,2,standard,east,0
63,45,132.3,0,174.79,1,2,4,0,2,standard,west,0
56,16,158.47,1,286.51,1,1,2,0,8,standard,south,0
43,22,133.88,0,79.16,1,4,2,0,4,standard,east,0
65,44,127.3,0,428.12,2,5,2,0,7,premium,south,0
50,67,161.99,1,121.93,1,4,1,0,2,premium,west,0
45,41,136.44,1,125.42,3,1,0,0,6,premium,north,0
45,53,122.38,2,231.26,1,3,3,0,7,premium,north,0
34,51,171.82,2,181.49,1,3,2,1,5,premium,west,0
26,28,124.03,0,43.01,1,4,4,0,9,premium,north,0
51,29,109.35,0,76.67,3,4,5,0,5,standard,west,0
69,42,90.68,0,259.31,4,5,2,0,5,standard,north,0
25,5,144.61,1,184.15,3,4,6,0,2,standard,north,1
67,66,163.3,0,430.74,0,5,1,0,7,family,south,0
65,60,118.23,0,164.1,1,5,2,1,5,family,east,0
36,31,165.78,3,188.7,2,2,3,0,7,family,east,0
55,37,51.05,0,67.24,0,4,2,1,6,standard,west,0
30,33,118.06,2,283.48,1,1,2,0,4,family,east,0
62,63,118.6,1,11.35,3,4,6,1,4,family,east,0
59,73,94.56,2,142.49,0,2,0,0,3,standard,east,0
40,13,203.44,1,192.78,1,2,0,0,4,premium,south,0
25,41,117.68,0,156.19,3,3,2,0,9,family,east,0
73,4,105.73,1,122.71,2,2,1,1,3,standard,west,0
45,45,120.91,0,112.25,1,4,2,1,1,family,west,0
